id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,speechiness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.05,0.06
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.85,0.04
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.10,0.07
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.90,0.03
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.03,0.08
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.95,0.03
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.70,0.04
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.80,0.04
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.88,0.03
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.06,0.05
11,Block Party,Cardinal Flow,hip hop,energetic,0.85,100,0.72,0.90,0.08,0.02,0.34
12,Winter Nocturne,Elena Vasquez,classical,melancholic,0.22,68,0.28,0.20,0.95,0.96,0.03
13,Island Time,Sunny Roots,reggae,uplifting,0.60,96,0.85,0.78,0.40,0.10,0.09
14,Neon Pulse,Voltgrid,edm,euphoric,0.95,128,0.80,0.92,0.03,0.55,0.05
15,Backroad Sunset,Dusty Boots,country,nostalgic,0.50,92,0.62,0.55,0.68,0.06,0.04
16,Iron Verdict,Ashfall,metal,angry,0.98,160,0.20,0.45,0.04,0.20,0.10
17,Velvet Hours,Mira Lane,r&b,romantic,0.45,84,0.66,0.70,0.30,0.05,0.08
18,Paper Boats,Willow Grove,folk,dreamy,0.33,76,0.55,0.40,0.88,0.35,0.04
